Date,Beginning Cash Balance,Revenue Collections,Bridge Loan Proceeds,Other Income,Total Cash In,Supplier Payments,Payroll,Rent/Utilities,Marketing,Other Expenses,Total Cash Out,Ending Cash Balance,Cash Runway (Weeks),Notes
2025-12-26,$50000,$5000,$0,$0,$5000,$3000,$8000,$2000,$1000,$500,$14500,$40500,4.2,Week 1 - Bridge loan prep
2025-12-27,$40500,$4500,$0,$0,$4500,$2500,$0,$0,$500,$300,$3300,$41700,4.3,
2025-12-28,$41700,$6000,$0,$0,$6000,$4000,$0,$0,$800,$200,$5000,$42700,4.4,
2025-12-29,$42700,$3500,$0,$0,$3500,$1500,$0,$0,$300,$150,$1950,$44250,4.6,Weekend - lower activity
2025-12-30,$44250,$5500,$0,$0,$5500,$2000,$0,$500,$600,$250,$3350,$46400,4.8,
2025-12-31,$46400,$4000,$0,$0,$4000,$1000,$0,$0,$200,$100,$1300,$49100,5.1,
2026-01-01,$49100,$3000,$0,$0,$3000,$500,$0,$0,$100,$50,$650,$51450,5.3,Holiday - minimal activity
2026-01-02,$51450,$7000,$0,$0,$7000,$3500,$8500,$0,$1200,$400,$13600,$44850,4.6,Payroll week
2026-01-03,$44850,$5500,$0,$0,$5500,$2800,$0,$0,$900,$300,$4000,$46350,4.8,
2026-01-04,$46350,$6500,$0,$0,$6500,$3200,$0,$0,$700,$250,$4150,$48700,5.0,
2026-01-05,$48700,$4800,$0,$0,$4800,$2000,$0,$2000,$500,$200,$4700,$48800,5.0,Rent payment
2026-01-06,$48800,$5200,$0,$0,$5200,$1800,$0,$0,$600,$150,$2550,$51450,5.3,
2026-01-07,$51450,$4500,$0,$0,$4500,$1500,$0,$0,$400,$100,$2000,$53950,5.6,Week 2 ends positive

INSTRUCTIONS:
1. Update DAILY before 9am with actual bank balance
2. Cash Runway = Ending Balance / Average Weekly Burn
3. If Cash Runway < 8 weeks = RED ALERT (emergency fundraising)
4. If Cash Runway < 12 weeks = YELLOW ALERT (accelerate bridge loan)
5. Track variance between projected vs actual daily
6. Weekly review every Friday with CEO